Node_ID,X,Y,Reward
1,33613.1588,86118.3061,75
2,33100.954,85529.6753,22
3,31571.8352,85250.4893,69
4,32070.4299,85687.7257,36
5,33290.3926,87198.053,56
6,33356.2217,86806.9333,88
7,32105.4238,86276.3547,97
8,32609.0206,86311.0828,75
9,33883.9885,86644.7135,100
10,32121.5366,87906.1227,13
11,32876.5165,87742.5105,40
12,34022.3194,86045.5285,80
13,31126.2925,85072.4294,18
14,31277.9473,86125.7796,65
15,34267.5937,86208.8669,90
16,33638.9941,86965.2734,82
17,33707.0527,87241.9462,89
18,32944.012,85953.8532,36
19,34178.984,85512.1818,35
20,33129.5681,88151.4166,55
21,31936.8156,87053.318,49
22,30702.9675,88078.8886,35
23,32490.969,87660.8407,75
24,32480.9714,85562.1727,33
25,34694.2587,88110.3182,33
26,33114.563,86879.1562,66
27,33348.722,86238.5859,64
28,33579.2704,86637.487,82
29,34026.2082,86326.0923,83
30,33737.886,87252.5024,67
31,34071.2081,85921.359,42
32,32052.9256,87570.8342,30
33,31886.2644,86115.7906,12
34,31385.7228,86383.0123,96
35,31759.0481,85889.1149,39
36,34230.6496,85638.0189,10
37,31221.0066,87121.3622,24
38,34830.3643,87485.3023,90
39,31968.2064,88146.6822,54
40,31141.5693,85151.3196,43
41,31175.7331,85360.2108,32
42,34992.0292,86846.9471,94
43,33801.4945,87116.9459,93
44,33905.1027,86962.5006,83
45,33882.0433,86524.7095,49
46,32239.5907,85657.7274,93
47,31511.8345,85545.2156,15
48,34620.9198,86165.5374,55
49,34802.8661,86971.6741,41
50,31023.7921,87493.8708,51
51,34360.6537,87995.0366,22
52,32434.0249,86654.7019,34
53,33343.1705,85478.0085,81
54,31621.548,86701.3606,54
55,31189.3444,85286.0437,81
56,33521.7717,86778.045,79
57,31837.93,86948.8708,58
58,30929.9052,88027.2209,56
59,31279.6139,86325.5085,71
60,33755.6599,87001.665,41
61,34895.6408,87571.4145,86
62,34262.3179,86612.7712,41
63,34163.7082,86659.7169,73
64,31163.7872,85635.4893,49
65,34189.266,86916.9483,29
66,31417.6722,85227.4324,33
67,34058.7093,85808.0229,62
68,33776.775,87301.1153,88
69,31815.1585,85843.0034,16
70,32299.5852,86196.3537,21
71,33361.2239,85715.7931,97
72,31467.9494,85118.8189,59
73,33716.2181,87158.6115,33
74,30424.9194,87879.4366,47
75,31192.1208,85420.7668,60
76,34738.701,87891.1457,58
77,31659.6042,88234.7338,85
78,31971.2631,87861.3968,70
79,31341.5568,86130.7808,78
80,31261.0051,85889.9382,85
81,34952.8584,85708.3041,19
82,30882.9628,87773.0474,63
83,33558.7173,86973.6057,51
84,30403.516,88248.522,88
85,34556.4818,86967.5079,26
86,33894.5496,87700.0188,89
87,31519.0565,85586.0493,70
88,31733.4888,87204.7083,12
89,33194.5672,88198.086,40
90,33931.2162,88020.3075,57
91,31256.2831,86584.6812,28
92,32125.9773,86656.0885,64
93,30603.8033,87852.4923,24
94,33647.611,87931.4109,55
95,32206.2524,87013.8759,36
96,34823.9786,86473.8788,36
97,32449.0275,88133.6339,13
98,30493.5286,88103.6099,70
99,34711.1945,85945.2556,69
100,31429.8882,87109.144,86
101,31173.2308,85793.2681,97
102,32558.747,87942.5161,21
103,33109.2894,87965.019,32
104,33753.9955,87157.2232,54
105,32306.8054,86817.7608,72
106,34639.8122,86429.1543,56
107,31487.386,87188.3141,37
108,33659.8332,87600.0098,79
109,31541.2791,85427.9922,19
110,31700.7123,86914.1457,73
111,34194.5444,86982.784,57
112,34933.1419,86819.7239,86
113,31628.2207,85681.8855,44
114,32053.4806,86343.5787,54
115,31229.0591,86232.4493,34
116,32711.2439,85182.1624,28
117,34190.9357,88147.2612,33
118,31068.5135,85433.8222,25
119,34194.2618,85694.9648,69
120,34245.0962,86646.6614,76
121,31009.3468,85744.3772,31
122,33948.1567,86859.9989,80
123,34451.7574,86402.7638,67
124,34791.7549,87054.4551,14
125,34930.9181,87646.1377,89
126,31387.3937,85408.2681,53
127,31730.7135,88197.5111,56
128,31264.0579,86223.283,66
129,34363.4232,85609.9634,31
130,32734.5767,85133.8277,57
131,33630.6607,86946.6618,24
132,33931.2115,86794.1636,78
133,34081.4863,86591.1027,49
134,33946.7654,86585.8235,11
135,34126.4856,86542.7678,77
136,31984.877,85716.8917,20
137,33820.6623,87906.4128,80
138,32594.0245,88115.578,77
139,34200.6503,86166.3655,76
140,33877.3274,87822.5225,55
141,33853.995,87182.7818,78
142,33643.1675,87510.0061,68
143,32755.9654,88028.9072,13
144,31778.4899,88331.129,73
145,31725.4334,86705.8078,85
146,33263.7246,86335.5323,45
147,33542.6068,87007.2173,14
148,32500.4124,86571.9223,53
149,32306.5342,85441.6119,37
150,32619.5797,88304.197,49
151,33752.0454,86703.8799,73
